,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,lat,long,Regionname,Propertycount
7462,Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/02/2017,3.3,3206,1,1,0,0,34.0,1970,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280
7463,Hoppers Crossing,38 MacEdon St,3,h,442500,S,Greg,27/05/2017,18.4,3029,3,1,2,537,121.84,1980,Wyndham City Council,-37.87016,144.70606,Western Metropolitan,13830
7464,Balaclava,6/23 Gourlay St,2,u,442000,SP,Buxton,17/09/2016,6.6,3183,2,1,1,0,61.0,1960,Port Phillip City Council,-37.8726,144.9962,Southern Metropolitan,2952
7465,Ascot Vale,12/9 Milton St,2,u,442000,S,Alexkarbon,18/06/2016,5.9,3032,2,1,1,0,62.0,1975,Moonee Valley City Council,-37.7733,144.9219,Western Metropolitan,6567
7466,Kensington,118/80 Ormond St,2,u,442000,S,Nelson,10/12/2016,4.2,3031,2,2,1,3448,71.0,2010,Melbourne City Council,-37.7976,144.9285,Northern Metropolitan,5263
7467,Braybrook,13/25 Marnoo St,3,t,441700,SP,Barry,22/04/2017,10.8,3019,3,2,1,145,107.0,2003,Maribyrnong City Council,-37.7894,144.8463,Western Metropolitan,3589
7468,Hawthorn East,6/20 Denmark Hill Rd,1,u,441000,S,Jellis,27/05/2017,6.2,3123,1,1,0,0,50.0,1960,Boroondara City Council,-37.8327,145.05428,Southern Metropolitan,6482
7469,Hoppers Crossing,133 Mossfiel Dr,3,u,441000,S,hockingstuart,25/11/2017,18.4,3029,3,1,1,294,112.0,1990,Wyndham City Council,-37.8666,144.6904,Western Metropolitan,13830
7470,Heidelberg West,163 Dougharty Rd,2,h,440500,S,hockingstuart,16/07/2016,9.4,3081,2,1,1,368,81.0,1955,Banyule City Council,-37.7341,145.0434,Eastern Metropolitan,2674
7471,Prahran,104/27 Macquarie St,1,u,440000,SP,Castran,17/06/2017,4.6,3181,1,1,1,0,44.0,2015,Stonnington City Council,-37.850120000000004,144.99225,Southern Metropolitan,7717
7472,Hawthorn,1/54 Liddiard St,1,u,440000,S,Jellis,6/05/2017,4.6,3122,1,1,1,0,51.0,1960,Boroondara City Council,-37.8194,145.0397,Southern Metropolitan,11308
7473,Hawthorn,8/32 Liddiard St,2,u,440000,SP,Jellis,10/09/2016,4.6,3122,2,1,1,0,52.0,1970,Boroondara City Council,-37.8192,145.0385,Southern Metropolitan,11308
7474,Armadale,10/581 Orrong Rd,1,u,440000,SP,Jellis,18/03/2017,6.3,3143,1,1,1,0,53.0,1970,Stonnington City Council,-37.8531,145.0115,Southern Metropolitan,4836
7475,Brunswick West,1/536 Albion St,2,h,440000,PI,Jellis,28/08/2016,5.9,3055,2,1,1,0,62.0,1960,Moreland City Council,-37.7577,144.9354,Northern Metropolitan,7082
7476,Ascot Vale,4/27 Roseberry St,2,u,440000,S,McDonald,19/11/2016,5.9,3032,2,1,1,0,65.0,1970,Moonee Valley City Council,-37.7749,144.9137,Western Metropolitan,6567
7477,Melbourne,303/166 Flinders St,1,u,440000,S,Harcourts,22/08/2016,2.8,3000,1,1,1,0,65.0,1920,Melbourne City Council,-37.8168,144.9691,Northern Metropolitan,17496
7478,Preston,2/2 Josephine Gr,2,u,440000,SP,Love,21/10/2017,8.4,3072,2,1,1,706,65.0,1970,Darebin City Council,-37.73543,145.0162,Northern Metropolitan,14577
7479,Kingsville,2/15 Edgar St,2,u,440000,S,hockingstuart,15/10/2016,7.8,3012,2,1,1,117,74.0,2008,Maribyrnong City Council,-37.8083,144.8775,Western Metropolitan,1808
7480,Essendon,5/8 Violet St,2,u,440000,S,Brad,27/11/2016,8.0,3040,2,1,1,1011,77.0,1970,Moonee Valley City Council,-37.7556,144.9132,Western Metropolitan,9264
7481,Reservoir,2/102 Rathcown Rd,2,u,440000,SP,Ray,8/10/2016,11.2,3073,2,1,2,132,83.0,1980,Darebin City Council,-37.709,145.0219,Northern Metropolitan,21650
7482,Reservoir,2/102 Rathcown Rd,2,u,440000,SP,Ray,15/10/2016,11.2,3073,2,1,2,132,83.0,1980,Darebin City Council,-37.709,145.0219,Northern Metropolitan,21650
7483,Maribyrnong,28 Blair St,2,t,440000,PI,Rendina,22/08/2016,8.7,3032,2,1,2,54,85.0,2000,Maribyrnong City Council,-37.774,144.8797,Western Metropolitan,4918
7484,Reservoir,4/32 Crookston Rd,2,u,440000,SP,Barry,22/08/2016,11.2,3073,2,1,1,153,87.0,2007,Darebin City Council,-37.7098,145.0211,Northern Metropolitan,21650
7485,Reservoir,1/12 Merino St,2,u,440000,SP,Love,18/03/2017,11.2,3073,2,1,1,183,93.0,1980,Darebin City Council,-37.7078,145.033,Northern Metropolitan,21650
7486,Maribyrnong,403/77 Village Wy,2,u,440000,VB,Woodards,15/07/2017,4.3,3032,2,1,2,0,93.0,2003,Maribyrnong City Council,-37.77117,144.88041,Western Metropolitan,4918
7487,Meadow Heights,23 Goodenia Cl,3,h,440000,S,YPA,8/07/2017,17.4,3048,3,1,2,570,112.0,1992,Hume City Council,-37.647690000000004,144.91359,Northern Metropolitan,4704
7488,Glenroy,3/132 Widford St,3,t,440000,SP,Nelson,28/05/2016,13.0,3046,3,2,1,215,121.0,2010,Moreland City Council,-37.6952,144.9256,Northern Metropolitan,8870
7489,Richmond,229/253 Bridge Rd,1,u,439000,SP,Biggin,10/09/2016,2.6,3121,1,1,1,3516,56.0,2011,Yarra City Council,-37.8183,144.9979,Northern Metropolitan,14949
7490,Moonee Ponds,907/341 Ascot Vale Rd,2,u,439000,S,Frank,8/04/2017,6.9,3039,2,1,1,0,70.0,2005,Moonee Valley City Council,-37.7679,144.9245,Western Metropolitan,6232
7491,Kurunjang,51 Archer Dr,4,h,439000,S,Raine,6/01/2018,31.7,3337,4,2,2,807,181.0,2008,Melton City Council,-37.65765,144.59515,Northern Victoria,3553
7492,Thornbury,7/67 Pender St,2,u,438000,SP,Love,22/08/2016,6.5,3071,2,1,1,0,66.0,1970,Darebin City Council,-37.7541,145.0088,Northern Metropolitan,8870
7493,West Footscray,12/32 Argyle St,2,h,438000,S,hockingstuart,8/10/2016,8.2,3012,2,1,2,0,75.0,1970,Maribyrnong City Council,-37.7952,144.8749,Western Metropolitan,5058
7494,Bundoora,19 Silverash Dr,2,t,438000,S,Ray,7/10/2017,12.1,3083,2,2,2,105,95.0,2010,Banyule City Council,-37.678000000000004,145.05693,Northern Metropolitan,10175
7495,Sunbury,11 Gruner St,3,h,438000,S,YPA,22/07/2017,31.7,3429,3,1,4,606,96.0,1994,Hume City Council,-37.57532,144.71058,Western Metropolitan,14092
7496,Melton West,30 Borrowdale Rd,3,h,438000,S,YPA,3/09/2017,31.7,3337,3,2,2,575,172.0,2016,Melton City Council,-37.66745,144.55857,Northern Victoria,6065
7497,Ormond,6/16 Walsh St,2,u,437500,S,Woodards,8/04/2017,11.8,3204,2,1,1,0,74.0,1970,Glen Eira City Council,-37.9023,145.0461,Southern Metropolitan,3578
7498,Carlton North,14/1102 Lygon St,1,u,437000,S,Nelson,24/09/2016,3.2,3054,1,1,1,0,56.0,1970,Melbourne City Council,-37.7798,144.9707,Northern Metropolitan,3106
7499,Epping,2/4 Grimwade Ct,2,u,437000,S,hockingstuart,1/07/2017,19.6,3076,2,1,2,351,109.0,2000,Whittlesea City Council,-37.65099,145.04663,Northern Metropolitan,10926
7500,Preston,6/383 Gilbert Rd,2,u,436000,S,Nelson,18/03/2017,8.8,3072,2,1,1,0,65.0,1980,Darebin City Council,-37.7377,144.9899,Northern Metropolitan,14577
7501,Sunbury,1 Whitty La,3,h,436000,SP,Leeburn,16/09/2017,31.7,3429,3,2,2,350,220.0,2004,Hume City Council,-37.58883,144.70202,Western Metropolitan,14092
7502,Elwood,206/35 Ormond Rd,1,u,435000,S,Wilson,8/07/2017,7.2,3184,1,1,1,1192,44.0,2009,Port Phillip City Council,-37.88306,144.9841,Southern Metropolitan,8989
7503,Northcote,12/20 Ross St,1,u,435000,S,Nelson,10/09/2016,5.5,3070,1,1,2,0,55.0,1970,Darebin City Council,-37.7842,144.9991,Northern Metropolitan,11364
7504,Brunswick East,201/218 Lygon St,2,u,435000,S,Jellis,8/10/2016,4.5,3057,2,1,1,197,55.0,2012,Moreland City Council,-37.7717,144.9719,Northern Metropolitan,5533
7505,Brunswick,11/68 De Carle St,2,u,435000,SP,Jellis,18/06/2016,5.2,3056,2,1,1,0,57.0,1973,Moreland City Council,-37.7597,144.9655,Northern Metropolitan,11918
7506,Carnegie,6/7 Judd St,2,u,435000,S,Gary,28/05/2016,11.4,3163,2,1,1,0,60.0,1980,Glen Eira City Council,-37.8986,145.0567,Southern Metropolitan,7822
7507,Essendon,4/20 William St,2,u,435000,S,Nelson,19/11/2016,8.0,3040,2,1,1,0,66.0,1970,Moonee Valley City Council,-37.7461,144.9079,Western Metropolitan,9264
7508,Moonee Ponds,1/53 Buckley St,2,u,435000,S,Nelson,26/08/2017,6.2,3039,2,1,1,1475,66.0,1970,Moonee Valley City Council,-37.75799,144.92354,Western Metropolitan,6232
7509,St Kilda,10/1 St Kilda Rd,1,u,435000,SP,Buxton,28/08/2016,6.1,3182,1,1,1,0,69.0,1995,Port Phillip City Council,-37.8573,144.9825,Southern Metropolitan,13240
7510,Brunswick East,15/67 Nicholson St,2,u,435000,SP,Pagan,13/05/2017,4.5,3057,2,1,1,0,70.0,2011,Moreland City Council,-37.7755,144.9786,Northern Metropolitan,5533
7511,Glenroy,3/42 Harold St,2,u,435000,S,Nelson,22/07/2017,11.2,3046,2,1,1,144,73.0,2010,Moreland City Council,-37.70628,144.92379,Northern Metropolitan,8870
7512,Camberwell,3/220 Warrigal Rd,2,u,435000,SP,LITTLE,7/11/2016,7.8,3124,2,1,1,896,77.0,1960,Boroondara City Council,-37.8479,145.0958,Southern Metropolitan,8920
7513,Camberwell,3/220 Warrigal Rd,2,u,435000,SP,LITTLE,12/11/2016,7.8,3124,2,1,1,896,77.0,1960,Boroondara City Council,-37.8479,145.0958,Southern Metropolitan,8920
7514,Sunshine North,38 Warwick Rd,2,h,435000,S,Douglas,6/08/2016,13.3,3020,2,1,4,343,81.0,1960,Brimbank City Council,-37.7689,144.8402,Western Metropolitan,4217
7515,Maidstone,19/8 Crefden St,2,u,435000,S,Biggin,8/07/2017,6.4,3012,2,2,1,0,96.0,2017,Maribyrnong City Council,-37.77813,144.87287,Western Metropolitan,3873
7516,Craigieburn,18 Balyang Wy,3,h,435000,S,Barry,28/10/2017,20.6,3064,3,1,1,313,97.0,2010,Hume City Council,-37.596270000000004,144.91243,Northern Metropolitan,15510
7517,Pakenham,4 Toorang Ct,4,h,435000,S,C21,15/07/2017,47.3,3810,4,2,2,553,553.0,2005,Cardinia Shire Council,-38.08699,145.48273,Eastern Victoria,17384
7518,Coburg,8/6 McKay St,2,u,434000,S,Nelson,10/09/2016,7.8,3058,2,1,1,0,80.0,1965,Darebin City Council,-37.7405,144.9644,Northern Metropolitan,11204
7519,South Morang,5 Snapdragon St,3,h,433500,S,HAR,28/10/2017,20.5,3752,3,2,2,146,138.0,2014,Whittlesea City Council,-37.65133,145.09697,Northern Metropolitan,7969
7520,Footscray,3/23 Pickett St,2,u,433000,SP,Jas,15/10/2016,6.4,3011,2,1,1,0,66.0,2012,Maribyrnong City Council,-37.8017,144.8957,Western Metropolitan,7570
7521,Reservoir,1/14 Ludeman Ct,2,u,433000,S,Ray,27/06/2016,11.2,3073,2,1,1,236,72.0,2012,Darebin City Council,-37.6984,144.9997,Northern Metropolitan,21650
7522,Thornbury,5/82 Gooch St,2,u,432500,S,Barry,27/06/2016,6.5,3071,2,1,1,748,56.0,1965,Darebin City Council,-37.7587,145.0064,Northern Metropolitan,8870
7523,Melbourne,308/16 Liverpool St,1,u,432000,S,LITTLE,13/08/2016,2.8,3000,1,1,1,0,51.0,2005,Melbourne City Council,-37.8111,144.9715,Northern Metropolitan,17496
7524,Ascot Vale,3/28 Ormond Rd,2,u,432000,S,Biggin,15/10/2016,5.9,3032,2,1,1,0,62.0,1978,Moonee Valley City Council,-37.773,144.9303,Western Metropolitan,6567
7525,Epping,10A Cabot Dr,2,h,432000,S,Ray,6/01/2018,19.6,3076,2,1,1,225,76.0,1995,Whittlesea City Council,-37.645109999999995,145.04145,Northern Metropolitan,10926
7526,Melton South,19 Garfield Cl,3,h,431500,S,hockingstuart,4/11/2017,29.8,3338,3,1,4,738,86.0,1990,Melton City Council,-37.7113,144.5622,Western Victoria,4718
7527,St Kilda,5/46 Greeves St,2,u,431000,S,McGrath,18/06/2016,6.1,3182,2,1,1,0,71.0,1940,Port Phillip City Council,-37.8665,144.9833,Southern Metropolitan,13240
7528,Roxburgh Park,29 Grenville Tce,3,h,431000,S,Ray,9/12/2017,20.6,3064,3,2,2,245,134.0,2003,Hume City Council,-37.62203,144.92236,Northern Metropolitan,5833
7529,Camberwell,19/1295 Toorak Rd,2,u,430000,VB,Jellis,4/06/2016,7.8,3124,2,1,1,0,56.0,2011,Boroondara City Council,-37.8493,145.0877,Southern Metropolitan,8920
7530,Hawthorn East,4/3 Brookfield Ct,1,u,430000,S,Jellis,25/02/2017,7.5,3123,1,1,1,2276,58.0,1950,Boroondara City Council,-37.8343,145.0547,Southern Metropolitan,6482
7531,St Kilda,201/63 Acland St,1,u,430000,SP,Buxton,12/11/2016,6.1,3182,1,1,1,1409,63.0,2000,Port Phillip City Council,-37.8661,144.9772,Southern Metropolitan,13240
7532,St Kilda,48/352 Canterbury Rd,2,u,430000,SP,Cayzer,28/05/2016,6.1,3182,2,1,1,0,63.0,2008,Port Phillip City Council,-37.859,144.9767,Southern Metropolitan,13240
7533,Carnegie,5/40 Woorayl St,2,u,430000,VB,Ray,15/07/2017,10.1,3163,2,1,1,2048,68.0,1960,Glen Eira City Council,-37.88642,145.05979,Southern Metropolitan,7822
7534,Ormond,5/11 Ormond Rd,2,u,430000,PI,Purplebricks,25/02/2017,11.8,3204,2,1,1,0,69.0,1970,Glen Eira City Council,-37.903,145.0452,Southern Metropolitan,3578
7535,St Kilda,1/76 Carlisle St,2,u,430000,S,Woodards,3/12/2016,6.1,3182,2,1,1,0,71.0,1970,Port Phillip City Council,-37.8675,144.9851,Southern Metropolitan,13240
7536,Rosanna,11/77 McCrae Rd,2,h,430000,S,hockingstuart,16/04/2016,11.4,3084,2,1,1,164,83.0,1980,Banyule City Council,-37.7362,145.079,Eastern Metropolitan,3540
7537,Glenroy,3/27 Harold St,2,u,430000,PI,Jason,6/08/2016,13.0,3046,2,1,1,164,100.0,2010,Moreland City Council,-37.7072,144.9252,Northern Metropolitan,8870
7538,Melton,20 Perry Cl,3,h,430000,S,hockingstuart,3/09/2017,31.7,3337,3,1,2,583,103.0,1980,Melton City Council,-37.681459999999994,144.57106000000002,Western Victoria,3600
7539,Pascoe Vale,8/16 Pascoe St,3,t,430000,VB,Trimson,18/06/2016,9.9,3044,3,2,1,146,106.0,2006,Moreland City Council,-37.7152,144.9346,Northern Metropolitan,7485
7540,Footscray,107/250 Barkly St,2,u,430000,PI,McGrath,22/07/2017,5.1,3011,2,1,1,1909,110.0,2007,Maribyrnong City Council,-37.79919,144.89607,Western Metropolitan,7570
7541,Werribee,1 Shannon Cl,3,h,430000,SP,Barry,25/11/2017,14.7,3030,3,1,0,542,110.0,1980,Wyndham City Council,-37.8814,144.6621,Western Metropolitan,16166
7542,Craigieburn,77 Huntington Dr,3,h,430000,S,Ray,27/05/2017,20.6,3064,3,2,1,280,127.0,2010,Hume City Council,-37.57056,144.91751000000002,Northern Metropolitan,15510
7543,Wallan,2A Windham St,3,h,430000,SP,Barry,20/01/2018,44.2,3756,3,2,2,683,146.0,1990,Mitchell Shire Council,-37.41953,144.98206000000002,Northern Victoria,3988
7544,Melton West,1 Lincoln Wy,4,h,430000,SP,hockingstuart,23/09/2017,31.7,3337,4,1,3,675,147.0,1980,Melton City Council,-37.673629999999996,144.55888000000002,Northern Victoria,6065
7545,Maribyrnong,20/9 Fabian Ct,2,t,429000,S,Trimson,18/03/2017,8.7,3032,2,1,1,83,88.0,1980,Maribyrnong City Council,-37.7732,144.8927,Western Metropolitan,4918
7546,Mill Park,2/7 Bradley Dr,2,h,428000,S,Ray,24/06/2017,17.9,3082,2,1,1,389,104.0,2005,Whittlesea City Council,-37.65623,145.07431,Northern Metropolitan,10529
7547,Pascoe Vale,10/43 Arndt Rd,2,u,427500,S,hockingstuart,20/05/2017,9.9,3044,2,1,1,134,75.0,1988,Moreland City Council,-37.7216,144.9292,Northern Metropolitan,7485
7548,Reservoir,4/1 Ashley St,2,u,427500,S,Love,7/11/2016,11.2,3073,2,1,1,146,84.0,1980,Darebin City Council,-37.719,145.0014,Northern Metropolitan,21650
7549,Melton West,20 Linlithgow Wy,4,h,427500,S,hockingstuart,29/07/2017,31.7,3337,4,1,2,865,129.92,1980,Melton City Council,-37.67396,144.55784,Northern Victoria,6065
7550,Essendon,4/11 Stanley St,1,u,426500,S,Brad,29/04/2017,8.0,3040,1,1,1,62,53.0,1960,Moonee Valley City Council,-37.7578,144.9134,Western Metropolitan,9264
7551,Gisborne,1/12 Rodney St,3,h,426000,S,Raine,15/07/2017,45.9,3437,3,1,1,412,103.0,1950,Macedon Ranges Shire Council,-37.49175,144.59565,Northern Victoria,3376
7552,Roxburgh Park,11 Grenville Tce,3,h,426000,S,Ray,23/09/2017,20.6,3064,3,2,2,245,134.0,2004,Hume City Council,-37.62191,144.92158,Northern Metropolitan,5833
7553,Melton South,23 Neerim St,4,h,426000,S,Raine,15/07/2017,29.8,3338,4,2,3,655,142.0,1975,Melton City Council,-37.695479999999996,144.56775,Western Victoria,4718
7554,Sunshine,1/10 Norma St,2,u,425500,SP,Barry,15/10/2016,12.6,3020,2,1,0,153,72.0,1970,Brimbank City Council,-37.7912,144.8439,Western Metropolitan,3755
7555,Ascot Vale,2/25 Harold St,2,u,425500,S,Brad,15/07/2017,4.3,3032,2,1,1,1727,82.0,1960,Moonee Valley City Council,-37.77341,144.9013,Western Metropolitan,6567
7556,Kensington,20 Bradfield La,1,t,425000,SA,Biggin,8/04/2017,4.2,3031,1,1,1,0,46.0,2000,Melbourne City Council,-37.7886,144.9253,Northern Metropolitan,5263
7557,Cremorne,301/163 Cremorne St,1,u,425000,PI,hockingstuart,6/08/2016,2.5,3121,1,1,1,0,52.0,2007,Yarra City Council,-37.8301,144.9904,Northern Metropolitan,1123
7558,South Yarra,1107/12 Yarra St,1,u,425000,PI,Biggin,13/08/2016,3.3,3141,1,1,1,0,56.0,2007,Melbourne City Council,-37.836999999999996,144.9931,Southern Metropolitan,14887
7559,Altona,4/5 Rose St,2,u,425000,S,hockingstuart,10/09/2016,13.8,3018,2,1,2,115,57.0,1980,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301
7560,Malvern East,15/5 Warley Rd,2,u,425000,SP,hockingstuart,27/11/2016,11.2,3145,2,1,1,0,57.0,1997,Stonnington City Council,-37.8804,145.0501,Southern Metropolitan,8801
7561,Southbank,125/173 City Rd,1,u,425000,VB,Greg,16/04/2016,1.2,3006,1,1,1,0,57.0,2004,Melbourne City Council,-37.8245,144.9622,Southern Metropolitan,8400
7562,Kensington,301/84 Altona St,2,u,425000,S,Rendina,27/11/2016,4.2,3031,2,1,1,0,59.0,2006,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263
7563,Flemington,8/39 Dover St,2,u,425000,SP,Hodges,4/03/2017,4.4,3031,2,1,1,0,63.0,1970,Melbourne City Council,-37.7833,144.9255,Northern Metropolitan,3593
7564,Preston,28/122 High St,2,u,425000,SP,Jellis,25/02/2017,8.8,3072,2,2,1,1485,69.0,2010,Darebin City Council,-37.7476,145.0026,Northern Metropolitan,14577
7565,Sunshine,4/162 Cornwall Rd,2,h,425000,S,Barry,14/05/2016,12.6,3020,2,1,1,225,80.0,2000,Brimbank City Council,-37.7795,144.8432,Western Metropolitan,3755
7566,Jacana,108 Sunset Bvd,3,h,425000,S,Barry,16/04/2016,14.5,3047,3,1,2,650,90.0,1975,Hume City Council,-37.687,144.9084,Northern Metropolitan,851
7567,Roxburgh Park,12 Simmonds Pl,3,h,425000,S,Ray,3/06/2017,20.6,3064,3,2,2,255,141.0,1996,Hume City Council,-37.63382,144.92774,Northern Metropolitan,5833
7568,Melton South,13 Kingsford Av,3,h,425000,S,hockingstuart,25/11/2017,29.8,3338,3,1,4,805,155.0,1975,Melton City Council,-37.6979,144.5769,Western Victoria,4718
7569,Craigieburn,7 Perisher Dr,3,h,425000,S,Ray,24/06/2017,20.6,3064,3,2,2,263,165.0,2008,Hume City Council,-37.57307,144.92513,Northern Metropolitan,15510
7570,Reservoir,1/5 Daventry St,2,u,424000,S,Barry,18/06/2016,11.2,3073,2,1,1,141,81.0,1980,Darebin City Council,-37.7149,145.0009,Northern Metropolitan,21650
7571,Fawkner,2/11 Dowling St,3,u,422500,S,Ray,30/07/2016,12.4,3060,3,2,1,195,91.0,2000,Hume City Council,-37.7062,144.9688,Northern Metropolitan,5070
7572,Northcote,16/62 Cunningham St,1,u,422000,S,Chambers,19/11/2016,5.5,3070,1,1,1,0,40.0,1970,Darebin City Council,-37.7827,144.9999,Northern Metropolitan,11364
7573,Southbank,512/22 Dorcas St,1,u,422000,S,MICM,3/06/2017,0.7,3006,1,1,1,63,51.0,2010,Melbourne City Council,-37.83014,144.96967,Southern Metropolitan,8400
7574,Richmond,412/10 Burnley St,1,u,421000,SP,Biggin,4/03/2017,2.6,3121,1,1,1,8223,57.0,2012,Yarra City Council,-37.8127,145.0094,Northern Metropolitan,14949
7575,Ivanhoe,3/14 Merton St,1,u,421000,SP,Nelson,24/09/2016,7.9,3079,1,1,1,0,58.0,1992,Banyule City Council,-37.7753,145.0419,Eastern Metropolitan,5549
7576,Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,4/03/2017,11.1,3025,2,1,1,77,77.0,2009,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,5132
7577,Mill Park,1/6 Patmore Ct,2,h,421000,S,Ray,24/06/2017,17.9,3082,2,1,1,257,83.0,1985,Whittlesea City Council,-37.65636,145.03996999999998,Northern Metropolitan,10529
7578,Brunswick West,1/1 Duggan St,2,u,420500,SP,Pagan,18/11/2017,5.2,3055,2,1,1,5497,0.0,2011,Moreland City Council,-37.7582,144.94,Northern Metropolitan,7082
7579,Flemington,5/121 Wellington St,2,u,420500,S,Jellis,28/05/2016,4.4,3031,2,1,1,0,52.0,1970,Melbourne City Council,-37.783,144.93200000000002,Northern Metropolitan,3593
7580,Fitzroy,8/98 George St,1,u,420000,S,Caine,25/02/2017,1.6,3065,1,1,1,782,42.0,1975,Yarra City Council,-37.8055,144.9809,Northern Metropolitan,5825
7581,South Yarra,7/85 Caroline St,1,u,420000,S,hockingstuart,22/07/2017,2.7,3141,1,1,1,0,43.0,1960,Melbourne City Council,-37.83547,144.98844,Southern Metropolitan,14887
7582,Elwood,108/35 Ormond Rd,1,u,420000,VB,Chisholm,3/06/2017,7.2,3184,1,1,1,1192,45.0,2009,Port Phillip City Council,-37.88306,144.9841,Southern Metropolitan,8989
7583,Hawthorn,9/454 Burwood Rd,1,u,420000,S,hockingstuart,12/08/2017,5.3,3122,1,1,1,0,47.0,2004,Boroondara City Council,-37.82334,145.04015,Southern Metropolitan,11308
7584,Kensington,2/65 Bayswater Rd,2,u,420000,VB,Alexkarbon,4/06/2016,4.2,3031,2,1,1,0,55.0,1970,Melbourne City Council,-37.794000000000004,144.923,Northern Metropolitan,5263
7585,Caulfield North,9/400 Dandenong Rd,2,u,420000,VB,Gary,10/09/2016,8.1,3161,2,1,1,0,56.0,2012,Glen Eira City Council,-37.861,145.0136,Southern Metropolitan,6923
7586,Maribyrnong,4/47 Middle Rd,2,u,420000,S,Alexkarbon,25/02/2017,8.7,3032,2,1,1,0,68.0,1970,Maribyrnong City Council,-37.7678,144.8899,Western Metropolitan,4918
7587,Bentleigh,8/12 Brentwood St,2,u,420000,SP,Gary,27/05/2017,11.4,3204,2,1,1,0,68.0,1970,Glen Eira City Council,-37.9336,145.04509,Southern Metropolitan,6795
7588,Hughesdale,105/175 Kangaroo Rd,2,u,420000,VB,Woodards,12/11/2016,13.0,3166,2,1,1,0,70.0,2010,Monash City Council,-37.9008,145.0859,Southern Metropolitan,3145
7589,Footscray,3/53 Whitehall St,2,u,420000,VB,Village,12/06/2016,6.4,3011,2,1,1,0,75.0,2010,Maribyrnong City Council,-37.8042,144.9049,Western Metropolitan,7570
7590,Kensington,1/16 Mawbey St,2,u,420000,SP,Nelson,6/08/2016,4.2,3031,2,1,1,0,80.0,2002,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan,5263
7591,Moonee Ponds,5/3 Lennox St,2,u,420000,VB,Nelson,10/09/2016,6.9,3039,2,1,1,0,82.0,1950,Moonee Valley City Council,-37.7701,144.9079,Western Metropolitan,6232
7592,West Footscray,4/17 Beaumont Pde,2,u,420000,VB,Greg,28/08/2016,8.2,3012,2,1,1,781,82.0,2013,Maribyrnong City Council,-37.8079,144.8684,Western Metropolitan,5058
7593,Glenroy,6/5 Murrell St,2,t,420000,VB,Brad,6/05/2017,13.0,3046,2,2,1,1137,82.0,2009,Moreland City Council,-37.7045,144.9204,Northern Metropolitan,8870
7594,Albion,1/141 Anderson Rd,2,u,420000,S,Bells,13/05/2017,13.9,3020,2,1,1,192,88.0,1970,Brimbank City Council,-37.7832,144.8275,Western Metropolitan,2185
7595,Meadow Heights,1/2 Dakara Cl,3,u,420000,S,YPA,22/07/2017,17.4,3048,3,1,1,658,94.0,1990,Hume City Council,-37.64821,144.92526999999998,Northern Metropolitan,4704
7596,Glenroy,1/25 Morell St,3,h,420000,PI,Raine,15/10/2016,13.0,3046,3,1,2,0,96.0,1960,Moreland City Council,-37.7025,144.9504,Northern Metropolitan,8870
7597,Sunbury,60 Heysen Dr,3,h,420000,S,Raine,1/07/2017,31.7,3429,3,1,2,466,101.0,1985,Hume City Council,-37.57282,144.70553,Western Metropolitan,14092
7598,South Morang,3/32 Kumara Cct,3,t,420000,S,Harcourts,8/07/2017,20.5,3752,3,2,2,155,101.0,2011,Whittlesea City Council,-37.63478,145.08486000000002,Northern Metropolitan,7969
7599,Maribyrnong,104 Gatehouse Pl,2,u,420000,SP,Biggin,7/05/2016,8.7,3032,2,1,2,5661,103.0,1940,Maribyrnong City Council,-37.773,144.8806,Western Metropolitan,4918
7600,Werribee,4 Mekong Cl,3,h,420000,S,Barry,6/01/2018,14.7,3030,3,2,2,341,106.0,1995,Wyndham City Council,-37.88098,144.65753999999998,Western Metropolitan,16166
7601,Reservoir,4/18 Gourock St,2,t,420000,VB,Love,26/07/2016,11.2,3073,2,1,2,153,107.0,2003,Darebin City Council,-37.702,145.0324,Northern Metropolitan,21650
7602,Melton South,6 Bass Ct,4,h,420000,PI,PRDNationwide,9/12/2017,29.8,3338,4,1,4,700,124.0,1975,Melton City Council,-37.71007,144.56563,Western Victoria,4718
7603,South Kingsville,2/3 New St,2,h,420000,SP,Jas,26/07/2016,9.1,3015,2,1,1,78,130.0,1980,Hobsons Bay City Council,-37.8262,144.8677,Western Metropolitan,984
7604,Craigieburn,84 Royal Tce,3,t,420000,S,Ray,27/05/2017,20.6,3064,3,2,2,219,175.0,2010,Hume City Council,-37.57243,144.92663000000002,Northern Metropolitan,15510
7605,Melton,2 Kym Pl,4,h,420000,S,Ryder,17/06/2017,31.7,3337,4,2,2,642,199.5,2004,Melton City Council,-37.691590000000005,144.5864,Western Victoria,3600
